ts,P>1_mean,P>1_max,P>5_mean,P>5_max,P>10_mean,P>10_max,P>30_mean,P>30_max,P>50_mean,P>50_max,P>100_mean,P>100_max,E>0.8_mean,E>0.8_max,E>2.0_mean,E>2.0_max,speed,density,F10.7,група
2017-08-31 16:00:00,11.461666666666666,15.4,0.24491666666666667,0.361,0.19683333333333333,0.322,0.102175,0.166,0.08285,0.155,0.04481666666666667,0.0813,13766.666666666666,17000.0,61.80833333333334,71.2,587.0,3.7,92.0,тиха
2017-08-31 17:00:00,18.685,50.8,0.2698333333333333,0.645,0.18475,0.306,0.09825833333333334,0.161,0.079025,0.15,0.043175,0.0848,22725.0,28400.0,95.48333333333333,133.0,583.0,3.1,92.0,тиха
2017-08-31 18:00:00,10.998333333333333,15.6,0.28025,0.492,0.1885,0.305,0.097775,0.154,0.07083333333333333,0.1,0.03966666666666667,0.0729,32383.333333333332,34500.0,172.66666666666666,193.0,573.0,3.0,92.0,тиха
2017-08-31 19:00:00,17.52,46.2,0.26572727272727276,0.397,0.19490909090909092,0.309,0.07950909090909092,0.122,0.0668909090909091,0.111,0.03825454545454546,0.0855,37281.818181818184,43200.0,232.36363636363637,308.0,570.0,2.8,92.0,тиха
2017-08-31 20:00:00,17.041666666666668,23.1,0.22141666666666668,0.353,0.162,0.316,0.08833333333333333,0.172,0.07155,0.123,0.04046666666666667,0.08,46675.0,51400.0,399.8333333333333,479.0,569.0,2.6,92.0,тиха
2017-08-31 21:00:00,18.183333333333334,22.8,0.21208333333333332,0.347,0.16441666666666666,0.309,0.08695000000000001,0.19,0.07324166666666666,0.178,0.034325,0.0712,47291.666666666664,48900.0,420.9166666666667,484.0,568.0,2.3,92.0,тиха
2017-08-31 22:00:00,23.40833333333333,36.4,0.25066666666666665,0.483,0.17333333333333334,0.26,0.07866666666666666,0.142,0.06605833333333334,0.131,0.036475,0.0879,53183.333333333336,57900.0,498.8333333333333,578.0,562.0,2.1,92.0,тиха
2017-08-31 23:00:00,19.208333333333332,36.1,0.24316666666666667,0.495,0.17683333333333331,0.272,0.09864166666666667,0.181,0.08278333333333333,0.16,0.038283333333333336,0.0651,55975.0,59300.0,552.1666666666666,625.0,555.0,2.9,92.0,тиха
2017-09-01 00:00:00,11.685833333333333,22.9,0.25758333333333333,0.518,0.1825,0.273,0.09224166666666667,0.209,0.07245,0.126,0.03676666666666667,0.0645,49658.333333333336,54200.0,387.75,516.0,556.0,3.0,93.0,тиха
2017-09-01 01:00:00,5.2908333333333335,6.92,0.22866666666666668,0.324,0.17174999999999999,0.264,0.07789166666666666,0.143,0.0622,0.132,0.032225,0.0679,50075.0,55800.0,333.0,436.0,554.0,2.1,93.0,тиха
2017-09-01 02:00:00,6.614166666666667,11.5,0.23758333333333334,0.341,0.157,0.219,0.08510833333333334,0.161,0.06631666666666666,0.15,0.030783333333333333,0.064,57058.333333333336,61800.0,516.25,559.0,536.0,1.5,93.0,тиха
2017-09-01 03:00:00,4.84,9.15,0.31333333333333335,0.766,0.1865,0.397,0.08418333333333333,0.141,0.06893333333333333,0.13,0.037725,0.0645,36766.666666666664,54500.0,242.51666666666665,449.0,537.0,1.8,93.0,тиха
2017-09-01 04:00:00,6.1225,10.5,0.24875,0.358,0.16774999999999998,0.32,0.079975,0.138,0.066275,0.109,0.038891666666666665,0.0793,56000.0,67000.0,568.0833333333334,854.0,546.0,3.0,93.0,тиха
2017-09-01 05:00:00,5.088333333333334,7.91,0.23091666666666666,0.398,0.1665,0.361,0.08485833333333333,0.153,0.06855,0.142,0.036458333333333336,0.0864,39525.0,52900.0,355.6666666666667,566.0,572.0,3.1,93.0,тиха
2017-09-01 06:00:00,4.650833333333334,7.43,0.22624999999999998,0.312,0.17458333333333334,0.231,0.08396666666666668,0.131,0.06304166666666668,0.101,0.03225833333333333,0.0496,30216.666666666668,33200.0,260.5833333333333,275.0,568.0,2.6,93.0,тиха
